Date,Total cases,Total recovered,Total death,Daily Cases,Daily Recovered,Daily Death
2020-02-27,1,0,0,1,0,0
2020-02-28,1,0,0,0,0,0
2020-02-29,1,0,0,0,0,0
2020-03-01,1,0,0,0,0,0
2020-03-02,1,0,0,0,0,0
2020-03-03,1,0,0,0,0,0
2020-03-04,1,0,0,0,0,0
2020-03-05,1,0,0,0,0,0
2020-03-06,1,0,0,0,0,0
2020-03-07,1,0,0,0,0,0
2020-03-08,1,0,0,0,0,0
2020-03-09,2,0,0,1,0,0
2020-03-10,2,0,0,0,0,0
2020-03-11,2,0,0,0,0,0
2020-03-12,2,0,0,0,0,0
2020-03-13,2,0,0,0,0,0
2020-03-14,2,0,0,0,0,0
2020-03-15,2,0,0,0,0,0
2020-03-16,2,0,0,0,0,0
2020-03-17,3,0,0,1,0,0
2020-03-18,8,0,0,5,0,0
2020-03-19,12,0,0,4,0,0
2020-03-20,12,0,0,0,0,0
2020-03-21,22,2,0,10,2,0
2020-03-22,30,2,0,8,0,0
2020-03-23,40,2,0,10,0,0
2020-03-24,44,2,1,4,0,1
2020-03-25,51,3,1,7,1,0
2020-03-26,65,3,1,14,0,0
2020-03-27,81,3,1,16,0,0
2020-03-28,97,3,1,16,0,0
2020-03-29,111,3,1,14,0,0
2020-03-30,131,3,2,20,0,1
2020-03-31,139,9,2,8,6,0
2020-04-01,174,9,2,35,0,0
2020-04-02,184,20,2,10,11,0
2020-04-03,209,25,4,25,5,2
2020-04-04,214,25,4,5,0,0
2020-04-05,232,33,5,18,8,1
2020-04-06,238,35,5,6,2,0
2020-04-07,254,44,6,16,9,1
2020-04-08,276,44,6,22,0,0
2020-04-09,288,51,7,12,7,1
2020-04-10,305,58,7,17,7,0
2020-04-11,318,70,10,13,12,3
2020-04-12,323,85,10,5,15,0
2020-04-13,343,91,10,20,6,0
2020-04-14,373,99,11,30,8,1
2020-04-15,407,128,12,34,29,1
2020-04-16,442,152,13,35,24,1
2020-04-17,493,159,17,51,7,4
2020-04-18,542,166,19,49,7,2
2020-04-19,627,170,21,85,4,2
2020-04-20,665,188,22,38,18,1
2020-04-21,782,197,25,117,9,3
2020-04-22,873,197,28,91,0,3
2020-04-23,981,197,31,108,0,3
2020-04-24,1095,208,32,114,11,1
2020-04-25,1182,222,35,87,14,3
2020-04-26,1273,239,40,91,17,5
2020-04-27,1337,255,40,64,16,0
2020-04-28,1532,255,44,195,0,4
2020-04-29,1728,307,51,196,52,7
2020-04-30,1932,319,58,204,12,7
2020-05-01,2170,351,68,238,32,10
2020-05-02,2388,385,85,218,34,17
2020-05-03,2558,400,87,170,15,2
2020-05-04,2802,417,93,244,17,6
2020-05-05,2950,481,98,148,64,5
2020-05-06,3145,534,103,195,53,5
2020-05-07,3526,601,107,381,67,4
2020-05-08,3912,679,117,386,78,10
2020-05-09,4151,745,128,239,66,11
2020-05-10,4399,779,143,248,34,15
2020-05-11,4641,902,150,242,123,7
2020-05-12,4787,959,158,146,57,8
2020-05-13,4971,1070,164,184,111,6
2020-05-14,5162,1180,167,191,110,3
2020-05-15,5445,1320,171,283,140,4
2020-05-16,5621,1472,176,176,152,5
2020-05-17,5959,1594,182,338,122,6
2020-05-18,6175,1644,191,216,50,9
2020-05-19,6401,1734,192,226,90,1
2020-05-20,6677,1840,200,276,106,8
2020-05-21,7016,1907,211,339,67,11
2020-05-22,7261,2007,221,245,100,10
2020-05-23,7526,2174,221,265,167,0
2020-05-24,7839,2263,226,313,89,5
2020-05-25,8068,2311,233,229,48,7
2020-05-26,8344,2385,249,276,74,16
2020-05-27,8733,2501,254,389,116,5
2020-05-28,8915,2592,259,182,91,5
2020-05-29,9302,2697,261,387,105,2
2020-05-30,9855,2856,273,553,159,12
2020-05-31,10162,3007,287,307,151,14
2020-06-01,10578,3122,299,416,115,12
2020-06-02,10819,3239,314,241,117,15
2020-06-03,11166,3329,315,347,90,1
2020-06-04,11516,3535,323,350,206,8
2020-06-05,11844,3696,333,328,161,10
2020-06-06,12233,3826,342,389,130,9
2020-06-07,12486,3959,354,253,133,12
2020-06-08,12801,4040,361,315,81,7
2020-06-09,13464,4206,365,663,166,4
2020-06-10,13873,4351,382,409,145,17
2020-06-11,14554,4494,387,681,143,5
2020-06-12,15181,4891,399,627,397,12
2020-06-13,15682,5101,407,501,210,8
2020-06-14,16085,5220,420,403,119,13
2020-06-15,16658,5349,424,573,129,4
2020-06-16,17148,5623,455,490,274,31
2020-06-17,17735,5967,469,587,344,14
2020-06-18,18480,6307,475,745,340,6
2020-06-19,19147,6581,487,667,274,12
2020-06-20,19808,6718,506,661,137,19
2020-06-21,20244,6879,518,436,161,12
2020-06-22,20919,7109,525,675,230,7
2020-06-23,21371,7338,533,452,229,8
2020-06-24,22020,7613,542,649,275,9
2020-06-25,22614,7822,549,594,209,7
2020-06-26,23298,8253,554,684,431,5
2020-06-27,24077,8625,558,779,372,4
2020-06-28,24567,9007,565,490,382,7
2020-06-29,25133,9402,573,566,395,8
2020-06-30,25694,9746,590,561,344,17
2020-07-01,26484,10152,603,790,406,13
2020-07-02,27110,10801,616,626,649,13
2020-07-03,27564,11069,628,454,268,12
2020-07-04,28167,11462,634,603,393,6
2020-07-05,28711,11665,645,544,203,11
2020-07-06,29286,11828,654,575,163,9
2020-07-07,29789,12108,669,503,280,15
2020-07-08,30249,12373,684,460,265,15
2020-07-09,30748,12546,689,499,173,5
2020-07-10,31323,12795,709,575,249,20
2020-07-11,31987,13103,724,664,308,15
2020-07-12,32558,13447,740,571,344,16
2020-07-13,33153,13671,744,595,224,4
2020-07-14,33616,13792,754,463,121,10
2020-07-15,34259,13999,760,643,207,6
